X2, X4, X1, X3
1,1,1,y
1,1,1,y
1,1,1,y
1,1,1,y
1,1,1,y
1,1,1,y
1,1,1,y
1,1,1,y
1,1,1,y
1,1,1,y
1,1,1,y
1,1,1,y
1,1,1,y
1,1,1,y
1,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
2,1,1,y
1,2,1,y
1,2,1,y
1,2,1,y
1,2,1,y
1,2,1,y
1,2,1,y
1,2,1,y
1,2,1,y
1,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
2,2,1,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
1,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
2,1,2,y
1,2,2,y
1,2,2,y
1,2,2,y
1,2,2,y
1,2,2,y
1,2,2,y
1,2,2,y
1,2,2,y
1,2,2,y
1,2,2,y
1,2,2,y
1,2,2,y
1,2,2,y
1,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
2,2,2,y
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
1,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
2,1,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
1,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
2,2,1,n
1,1,2,n
1,1,2,n
1,1,2,n
1,1,2,n
1,1,2,n
1,1,2,n
1,1,2,n
1,1,2,n
1,1,2,n
1,1,2,n
1,1,2,n
1,1,2,n
1,1,2,n
1,1,2,n
2,1,2,n
2,1,2,n
2,1,2,n
2,1,2,n
2,1,2,n
2,1,2,n
2,1,2,n
2,1,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
1,2,2,n
2,2,2,n
2,2,2,n
2,2,2,n
2,2,2,n
2,2,2,n
2,2,2,n
2,2,2,n
2,2,2,n
2,2,2,n
2,2,2,n
2,2,2,n
2,2,2,n
